Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1990,1990,3050,FAO TIER 1,ha,7.1254,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1991,1991,3050,FAO TIER 1,ha,7.1254,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1992,1992,3050,FAO TIER 1,ha,7.1254,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1993,1993,3050,FAO TIER 1,ha,7.1254,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1994,1994,3050,FAO TIER 1,ha,7.1254,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1995,1995,3050,FAO TIER 1,ha,7.1254,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1996,1996,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1997,1997,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1998,1998,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,1999,1999,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2000,2000,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2001,2001,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2002,2002,3050,FAO TIER 1,ha,42.7522,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2003,2003,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2004,2004,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2005,2005,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2006,2006,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2007,2007,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2008,2008,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2009,2009,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2010,2010,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2011,2011,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2012,2012,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2013,2013,3050,FAO TIER 1,ha,0,Fc,Calculated data,
GI,Fires,090,Solomon Islands,7246,Burned Area,6796,Humid tropical forest,2014,2014,3050,FAO TIER 1,ha,0,Fc,Calculated data,
