Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6970,Artificial surfaces (including urban and associated areas),2015,2015,1000 ha,1.9,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6970,Artificial surfaces (including urban and associated areas),2016,2016,1000 ha,1.92,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6970,Artificial surfaces (including urban and associated areas),2017,2017,1000 ha,1.92,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6970,Artificial surfaces (including urban and associated areas),2018,2018,1000 ha,1.93,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6970,Artificial surfaces (including urban and associated areas),2019,2019,1000 ha,1.99,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2001,2001,1000 ha,1.77,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2002,2002,1000 ha,1.95,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2003,2003,1000 ha,1.95,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2004,2004,1000 ha,1.92,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2005,2005,1000 ha,1.92,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2006,2006,1000 ha,1.9,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2007,2007,1000 ha,1.92,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2008,2008,1000 ha,1.95,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2009,2009,1000 ha,1.9,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2010,2010,1000 ha,1.9,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2011,2011,1000 ha,1.88,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2012,2012,1000 ha,1.92,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2013,2013,1000 ha,1.9,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2014,2014,1000 ha,1.95,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2015,2015,1000 ha,1.95,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2016,2016,1000 ha,1.97,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2017,2017,1000 ha,2.01,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2018,2018,1000 ha,2.03,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2019,2019,1000 ha,2.01,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2020,2020,1000 ha,2.03,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6970,Artificial surfaces (including urban and associated areas),2021,2021,1000 ha,2.01,E,Estimated value
